method,iter,accuracy,n_features,len_train_no_dupe,len_val,hyperparameter
default,0,0.7209302325581395,20,296,172,"{'learning_rate': 0.2, 'max_depth': 7, 'min_samples_leaf': 2, 'n_estimators': 50}"
default,1,0.7569060773480663,20,287,181,"{'learning_rate': 0.1, 'max_depth': 7, 'min_samples_leaf': 2, 'n_estimators': 200}"
default,2,0.7559523809523809,20,300,168,"{'learning_rate': 0.2, 'max_depth': 3, 'min_samples_leaf': 4, 'n_estimators': 100}"
default,3,0.7639751552795031,20,307,161,"{'learning_rate': 0.2, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 100}"
default,4,0.7590361445783133,20,302,166,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'n_estimators': 100}"
fisher score,0,0.7716049382716049,15,306,162,"{'learning_rate': 0.2, 'max_depth': 7, 'min_samples_leaf': 1, 'n_estimators': 100}"
fisher score,1,0.7602339181286549,15,297,171,"{'learning_rate': 0.2, 'max_depth': 3, 'min_samples_leaf': 4, 'n_estimators': 50}"
fisher score,2,0.7582417582417582,15,286,182,"{'learning_rate': 0.2, 'max_depth': 7, 'min_samples_leaf': 4, 'n_estimators': 100}"
fisher score,3,0.7371428571428571,15,293,175,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 100}"
fisher score,4,0.6956521739130435,15,307,161,"{'learning_rate': 0.2, 'max_depth': 3, 'min_samples_leaf': 2, 'n_estimators': 200}"
rfe,0,0.695906432748538,5,297,171,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 100}"
rfe,1,0.7556818181818182,5,292,176,"{'learning_rate': 0.2, 'max_depth': 3, 'min_samples_leaf': 4, 'n_estimators': 100}"
rfe,2,0.7485029940119761,5,301,167,"{'learning_rate': 0.1, 'max_depth': 3, 'min_samples_leaf': 4, 'n_estimators': 200}"
rfe,3,0.7455621301775148,5,299,169,"{'learning_rate': 0.2, 'max_depth': 3, 'min_samples_leaf': 4, 'n_estimators': 100}"
rfe,4,0.7687861271676301,5,295,173,"{'learning_rate': 0.1, 'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 50}"
sfs,0,0.7727272727272727,11,314,154,"{'learning_rate': 0.1, 'max_depth': 7, 'min_samples_leaf': 4, 'n_estimators': 50}"
sfs,1,0.7413793103448276,11,294,174,"{'learning_rate': 0.2, 'max_depth': 7, 'min_samples_leaf': 2, 'n_estimators': 100}"
sfs,2,0.7967032967032966,11,286,182,"{'learning_rate': 0.2, 'max_depth': 7, 'min_samples_leaf': 4, 'n_estimators': 200}"
sfs,3,0.7485029940119761,11,301,167,"{'learning_rate': 0.1, 'max_depth': 7, 'min_samples_leaf': 2, 'n_estimators': 50}"
sfs,4,0.7439024390243902,11,304,164,"{'learning_rate': 0.2, 'max_depth': 3, 'min_samples_leaf': 1, 'n_estimators': 100}"
